Productcode;Barcode;Artikelcode;Productcode leverancier;Tags;Grading
109852765;8719407050540;7050540;7050540;Grading;Rits van de rugzak is kapot – rits van de rugzak werkt niet| The zipper of the backpack is broken – The zipper of the backpack does not work| ????? ??????? ????? – ????? ??????? ?? ????.
115966401;8008004134624;ALN-1200;ALN-1200;Grading;Lampen werken?
119605780;8711252193335;19333;19333;Grading;De bbq kan niet dicht door verbogen/verdraaide kleppen – het metaal is gebogen bbq kan niet in elkaar gezet worden| The BBQ cannot be closed due to bent/twisted vents – the metal is warped and the BBQ cannot be assembled| ?? ???? ????? ?????? ???? ??????? ??????? ?? ???????? – ?????? ????? ??? ???? ????? ??????
123748503;5410329704490;BP-GIKLED05;BP-GIKLED05;Grading;Ledverlichting brand niet| LED lighting does not work| ????? LED ?? ????
127155421;8016738768763;WDST100/8/6;WDST100/8/6;Grading, Damaged;Overdrukventiel gaat er af bij 9bar, waardoor de compressordruk terugvalt naar 6 bar – beschadigde behuizing - Noodaflaatklep is niet compleet| pressure relief valve trips at 9 bar, causing the compressor pressure to drop to 6 bar – damaged housing - Emergency relief valve is not complete| ????? ???? ????? ????? ??? 9 ???? ??? ????? ?? ?????? ??? ?????? ??? 6 ??? - ?????? ?????? - ???? ????? ??????? ??? ?????
127155477;5410329696313;WC106;WC106;Grading;De secondewijzer loopt terug ipv vooruit – product stinkt naar rook| The second hand runs backwards instead of forwards – product smells of smoke| ????? ???? ??????? ??? ????? ????? ?? ?????? - ????? ?????? ???????
127155703;5410329696269;WC101;WC101;Omdoos, Opvulling, Grading;Klok werkt schokkerig en stelt geen tijd in| Clock works erratically and does not set time| ???? ?????? ???? ????? ??? ???? ?????
127372225;8008004115272;PAT1200;PAT1200;Fragiel, Grading;| Heater defect, onderste pinnetje/veertje afgebroken, schroeven ontbreken, geen warmte, infraroodlampje gebroken, beschadigd bij levering | Heater defective, bottom pin/spring broken, screws missing, no heat, infrared bulb broken, damaged on delivery | ??????? ?????? ??????/??????? ?????? ?????? ??????? ??????? ?? ???? ?????? ????? ?????? ??? ??????? ?????? ???? ??? ??????? |
128086570;5996415031898, 2950018303267;Classic Series - Super Taper;0-31898;Grading;De messen gaan niet heen en weer – het product is vies| The knives do not move back and forth – the product is dirty| ?? ????? ???????? ?????? ??????? – ?????? ????.|
134743622;8016738796674;WE156/8/6;WE156/8/6;Grading;Bouwt geen druk op| Does not build pressure| ?? ???? ?????
136173795;8720246689204;HOM20823;HOM20823, X001H3W627,;Grading;De klep van de prullen bak gaat niet helemaal open - Het compartiment waar de batterijen geplaatst moeten worden ligt uit elkaar| The lid of the trash can does not open completely - The compartment where the batteries need to be placed is falling apart| ???? ??? ???????? ?? ???? ??????? - ???????? ???? ??? ??? ????????? ???? ?????
136173799;8720246686302, 2950019281199, 2950019281205;STA20593 HALDEN;STA20593, HALDEN, X001F9MYZ7, 8720246686302;Grading, Damaged;Product doet niks - er zit een deuk in - de klep blijft hangen gaat niet open en dicht – niet compleet – sensor doet het niet| The product does nothing - There is a dent - The lid gets stuck, does not open and close – Incomplete – Sensor does not work| ?????? ?? ???? - ???? ?? ?????? - ?????? ????? ?? ???? ??? ???? – ??? ????? – ???????? ?? ????
136239326;8719558282869, 2950004837523;HOM20258 Qubix-70 stainless steel;HOM20258, Qubix-70, X000TZFJFF, 2950004837523;Grading;Product ruikt heel vies – deksel gaat niet automatisch open en dicht – doet het niet| The product smells very bad – The lid does not open and close automatically – Does not work| ?????? ?????? ????? ???? – ?????? ?? ???? ??? ???? ???????? – ?? ????
136239328;8719558283231, 2950004837516;HOM20244 LUX-50;HOM20244, Lux, 2950004837516;Grading;Deksel gaat niet automatisch open en dicht – werkt niet| The lid does not open and close automatically – Does not work| ?????? ?? ???? ??? ???? ???????? – ?? ????|
136239385;8720246684346, 2950019732318;HOM20343;HOM20343,;Grading, Damaged;Deksel is stuk – product is niet compleet - het bevestiging's mechaniek van één van de armen is afgebroken| The lid is broken – The product is incomplete – The fastening mechanism of one of the arms is broken| ?????? ????? – ?????? ??? ????? – ???? ??????? ???? ?????? ??????
136239419;8720246686319, 2950019281212;STA20592 HALDEN;STA20592 HALDEN, X001F9MWD1, 2950019281212;Grading, Damaged;De prullenbak sluit aan één kant niet volledig. – verschijnen geen pijltjes – klep gaat niet open en dicht – sensor werkt niet| The trash can does not close fully on one side – No arrows appear – The lid does not open and close – The sensor does not work| ??? ???????? ?? ???? ??????? ?? ??? ????? – ?? ???? ?? ???? – ?????? ?? ???? ??? ???? – ???????? ?? ????
136239425;8720246686425, 2950021336542;STA20719;STA20719, 2950021336542;Grading;Grijper in de prullenbak is defect – product functioneert niet goed| The grabber in the trash can is defective – The product does not function properly| ?????? ???? ??? ???????? ???? – ?????? ?? ???? ???? ????
